999	2022-03-08T21:20:29.707835	model_999_0.241689_0.066552.pkl	0.241689	0.0665516
1999	2022-03-08T23:08:16.335319	model_1999_0.226512_0.066518.pkl	0.226512	0.0665177
2998	2022-03-09T00:13:02.947968	model_2998_0.219525_0.066950.pkl	0.219525	0.0669503
3998	2022-03-09T01:19:33.478703	model_3998_0.214489_0.066982.pkl	0.214489	0.0669822
4998	2022-03-09T02:24:50.967468	model_4998_0.203282_0.067019.pkl	0.203282	0.067019
5998	2022-03-09T03:29:48.277883	model_5998_0.213350_0.067059.pkl	0.21335	0.067059
6998	2022-03-09T04:39:56.955726	model_6998_0.205344_0.067083.pkl	0.205344	0.0670828
7998	2022-03-09T05:44:24.550998	model_7998_0.204338_0.067144.pkl	0.204338	0.0671438
8997	2022-03-09T06:49:19.015027	model_8997_0.198628_0.067026.pkl	0.198628	0.0670264
9997	2022-03-09T07:54:55.747227	model_9997_0.200446_0.067173.pkl	0.200446	0.067173
10997	2022-03-09T09:00:33.008231	model_10997_0.197154_0.067085.pkl	0.197154	0.0670853
11997	2022-03-09T10:13:00.326282	model_11997_0.195593_0.067066.pkl	0.195593	0.0670662
12997	2022-03-09T11:18:24.160276	model_12997_0.192181_0.067028.pkl	0.192181	0.067028
13996	2022-03-09T12:23:16.048977	model_13996_0.193422_0.067045.pkl	0.193422	0.0670452
14996	2022-03-09T13:28:13.554628	model_14996_0.196151_0.066993.pkl	0.196151	0.0669933
15995	2022-03-09T14:33:53.288386	model_15995_0.193606_0.067071.pkl	0.193606	0.0670713
16995	2022-03-09T15:37:57.577709	model_16995_0.196358_0.067028.pkl	0.196358	0.0670281
17995	2022-03-09T16:49:54.110866	model_17995_0.199431_0.067019.pkl	0.199431	0.0670189
18995	2022-03-09T17:54:20.283086	model_18995_0.188054_0.066934.pkl	0.188054	0.0669345
19994	2022-03-09T18:58:38.294501	model_19994_0.191394_0.066971.pkl	0.191394	0.0669709
20994	2022-03-09T20:03:13.032102	model_20994_0.188274_0.066925.pkl	0.188274	0.0669245
21994	2022-03-09T21:07:08.885405	model_21994_0.191460_0.066999.pkl	0.19146	0.0669987
22993	2022-03-09T22:18:44.978585	model_22993_0.192625_0.066954.pkl	0.192625	0.0669542
23993	2022-03-09T23:23:16.012040	model_23993_0.191322_0.066959.pkl	0.191322	0.0669595
24993	2022-03-10T00:28:11.723456	model_24993_0.192133_0.066928.pkl	0.192133	0.0669282
25992	2022-03-10T01:33:31.579354	model_25992_0.192237_0.066932.pkl	0.192237	0.0669321
26992	2022-03-10T02:38:17.060042	model_26992_0.185895_0.066947.pkl	0.185895	0.0669471
27992	2022-03-10T03:43:34.568593	model_27992_0.184398_0.066859.pkl	0.184398	0.0668588
28991	2022-03-10T04:57:46.770523	model_28991_0.190891_0.066889.pkl	0.190891	0.0668893
29991	2022-03-10T06:02:38.019088	model_29991_0.193574_0.066925.pkl	0.193574	0.0669246
30989	2022-03-10T07:06:57.044957	model_30989_0.191823_0.066865.pkl	0.191823	0.0668648
31989	2022-03-10T08:12:11.306754	model_31989_0.179419_0.066901.pkl	0.179419	0.0669006
32989	2022-03-10T09:17:14.798524	model_32989_0.177934_0.066936.pkl	0.177934	0.0669361
33988	2022-03-10T10:29:58.488497	model_33988_0.189225_0.066907.pkl	0.189225	0.0669067
34988	2022-03-10T11:35:07.947390	model_34988_0.190373_0.066867.pkl	0.190373	0.0668674
